name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
Adaptation,Kiss Land,The Weeknd,2013-01-01,4.73,53,0.642,0.151,0.642,0.79,0.000583,0.305,-6.8,0.0681,114.96,4,2013,True
The Town,Kiss Land,The Weeknd,2013-01-01,5.12,52,0.625,0.361,0.625,0.524,2.67e-06,0.0826,-8.227,0.0369,139.968,4,2013,True
Love In The Sky,Kiss Land,The Weeknd,2013-01-01,4.47,60,0.644,0.16,0.644,0.736,0.000156,0.6,-6.862,0.0514,115.03200000000001,4,2013,True
Live For,Kiss Land,The Weeknd,2013-01-01,3.71,61,0.626,0.517,0.626,0.68,0.0,0.114,-7.64,0.11199999999999999,75.97800000000001,4,2013,True
Kiss Land,Kiss Land,The Weeknd,2013-01-01,7.59,55,0.324,0.0415,0.324,0.852,0.0,0.061,-6.675,0.109,121.881,4,2013,True
Pretty,Kiss Land,The Weeknd,2013-01-01,6.26,60,0.58,0.0355,0.58,0.685,3.4200000000000005e-05,0.315,-6.829,0.0394,125.96799999999999,4,2013,True
Tears In The Rain,Kiss Land,The Weeknd,2013-01-01,7.41,53,0.655,0.109,0.655,0.636,0.237,0.0842,-7.84,0.0453,160.01,4,2013,True
High For This,Trilogy,The Weeknd,2012-01-01,4.12,69,0.465,0.7440000000000001,0.465,0.40299999999999997,0.000667,0.0777,-8.895,0.0755,74.95,4,2012,True
What You Need,Trilogy,The Weeknd,2012-01-01,3.27,66,0.657,0.525,0.657,0.405,0.07200000000000001,0.146,-8.637,0.0584,133.895,4,2012,True
Wicked Games,Trilogy,The Weeknd,2012-01-01,5.4,75,0.6579999999999999,0.009590000000000001,0.6579999999999999,0.591,5.27e-06,0.325,-5.197,0.0309,114.07799999999999,4,2012,True
The Party & The After Party,Trilogy,The Weeknd,2012-01-01,7.66,62,0.43799999999999994,0.47600000000000003,0.43799999999999994,0.634,0.0,0.113,-7.456,0.337,203.585,4,2012,True
Coming Down,Trilogy,The Weeknd,2012-01-01,4.92,58,0.665,0.48700000000000004,0.665,0.612,0.000194,0.183,-4.664,0.0314,120.98899999999999,4,2012,True
The Knowing,Trilogy,The Weeknd,2012-01-01,5.67,58,0.451,0.5710000000000001,0.451,0.573,0.00744,0.172,-8.277000000000001,0.0303,85.921,4,2012,True
Twenty Eight,Trilogy,The Weeknd,2012-01-01,4.31,63,0.639,0.574,0.639,0.633,0.000218,0.111,-7.337999999999999,0.0352,129.996,4,2012,True
The Zone,Trilogy,The Weeknd,2012-01-01,6.98,63,0.619,0.26,0.619,0.521,0.000542,0.10099999999999999,-8.092,0.0744,139.886,4,2012,True
The Birds Pt. 1,Trilogy,The Weeknd,2012-01-01,3.57,57,0.5710000000000001,0.0245,0.5710000000000001,0.6920000000000001,0.0,0.0813,-6.656000000000001,0.0545,127.93700000000001,4,2012,True
The Birds Pt. 2,Trilogy,The Weeknd,2012-01-01,5.84,56,0.29600000000000004,0.745,0.29600000000000004,0.518,3.3100000000000005e-05,0.462,-9.571,0.0489,183.672,4,2012,True
Outside,Trilogy,The Weeknd,2012-01-01,4.33,55,0.565,0.693,0.565,0.446,0.0,0.469,-9.26,0.0531,140.121,4,2012,True
Same Old Song,Trilogy,The Weeknd,2012-01-01,5.2,56,0.7709999999999999,0.415,0.7709999999999999,0.56,4.8599999999999995e-05,0.536,-5.636,0.0692,109.978,4,2012,True
Next,Trilogy,The Weeknd,2012-01-01,6.0,57,0.63,0.715,0.63,0.682,0.0,0.115,-7.317,0.0551,112.07700000000001,4,2012,True
Till Dawn (Here Comes The Sun),Trilogy,The Weeknd,2012-01-01,5.33,55,0.6970000000000001,0.821,0.6970000000000001,0.542,0.000452,0.134,-8.946,0.0437,99.988,4,2012,True
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",The Weeknd,2014-12-23,4.2,79,0.66,0.391,0.66,0.382,0.0,0.0972,-5.919,0.0304,119.875,3,2014,True
Often,Often,The Weeknd,2014-07-31,4.17,2,0.38,0.255,0.38,0.614,0.0,0.0824,-8.439,0.0487,133.906,4,2014,True
Loft Music,Trilogy,The Weeknd,2012-01-01,6.06,65,0.287,0.581,0.287,0.498,7.56e-05,0.322,-7.523,0.177,171.725,4,2012,True
Lonely Star,Trilogy,The Weeknd,2012-01-01,5.82,57,0.45799999999999996,0.395,0.45799999999999996,0.705,0.0195,0.601,-5.462999999999999,0.0672,157.97,4,2012,True
In Vein,Mastermind (Deluxe),Rick Ross,2014-01-01,4.36,56,0.706,0.281,0.706,0.49700000000000005,0.0,0.252,-7.216,0.0369,96.988,4,2014,False
Montreal,Trilogy,The Weeknd,2012-01-01,4.18,58,0.49700000000000005,0.0447,0.49700000000000005,0.8029999999999999,1.77e-05,0.424,-4.46,0.132,183.88299999999998,4,2012,True
Gifted,Excuse My French (Deluxe),French Montana,2013-01-01,4.15,44,0.498,0.00824,0.498,0.809,0.0,0.18899999999999997,-4.303999999999999,0.0564,140.27,4,2013,False
Professional,Kiss Land,The Weeknd,2013-01-01,6.15,59,0.405,0.162,0.405,0.619,0.000334,0.0788,-8.92,0.0615,120.09200000000001,4,2013,True
Too Long (feat. The Weeknd),Blow,A1 Pistol,2015-09-02,3.53,0,0.688,0.00147,0.688,0.7509999999999999,7.48e-05,0.355,-9.187000000000001,0.18899999999999997,116.05,4,2015,False
Or Nah - Remix,Or Nah (Remix),Ty Dolla $ign,2014-06-10,4.05,79,0.805,0.22,0.805,0.33,0.0,0.105,-8.712,0.1,121.97,4,2014,False
Initiation,Trilogy,The Weeknd,2013-01-01,4.35,20,0.6709999999999999,0.41700000000000004,0.6709999999999999,0.505,0.0,0.184,-7.933,0.113,139.938,4,2013,True
XO / The Host - Album Version (Edited),Trilogy,The Weeknd,2013-01-01,4.97,23,0.696,0.12300000000000001,0.696,0.738,3.18e-06,0.366,-6.829,0.0359,128.035,4,2013,True
Echoes Of Silence,Trilogy,The Weeknd,2013-01-01,4.0,21,0.261,0.9490000000000001,0.261,0.19399999999999998,0.0106,0.107,-15.174000000000001,0.0432,151.30200000000002,5,2013,True
Valerie,Trilogy,The Weeknd,2013-01-01,4.78,24,0.644,0.33899999999999997,0.644,0.534,5.82e-06,0.0776,-6.4079999999999995,0.0487,147.985,4,2013,True
Angel,Beauty Behind The Madness,The Weeknd,2015-08-28,6.29,65,0.626,0.105,0.626,0.583,0.0,0.115,-7.574,0.0435,127.956,4,2015,True
Dark Times,Beauty Behind The Madness,The Weeknd,2015-08-28,4.34,70,0.501,0.114,0.501,0.40299999999999997,1.1e-05,0.124,-9.607000000000001,0.0752,132.608,3,2015,True
True Colors,Starboy,The Weeknd,2016-11-25,3.43,71,0.624,0.284,0.624,0.424,0.0,0.17300000000000001,-8.237,0.24,76.669,4,2016,True
Attention,Starboy,The Weeknd,2016-11-25,3.29,68,0.6709999999999999,0.682,0.6709999999999999,0.428,0.0002,0.121,-7.053999999999999,0.124,148.041,4,2016,True
Die For You,Starboy,The Weeknd,2016-11-25,4.34,77,0.586,0.111,0.586,0.525,0.0,0.134,-7.162999999999999,0.0615,133.629,4,2016,True
As You Are,Beauty Behind The Madness,The Weeknd,2015-08-28,5.67,65,0.371,0.131,0.371,0.32899999999999996,0.00625,0.27899999999999997,-9.667,0.0574,173.66099999999997,4,2015,True
Rolling Stone - Album Version (Edited),Trilogy,The Weeknd,2013-01-01,3.84,24,0.6920000000000001,0.396,0.6920000000000001,0.331,6.34e-06,0.142,-11.808,0.0303,129.97299999999998,4,2013,True
Gone - Album Version (Edited),Trilogy,The Weeknd,2013-01-01,8.12,23,0.485,0.682,0.485,0.696,0.000728,0.0856,-7.364,0.303,104.325,4,2013,True
Shameless,Beauty Behind The Madness,The Weeknd,2015-08-28,4.23,69,0.603,0.146,0.603,0.562,0.0,0.109,-8.311,0.0267,100.038,4,2015,True
Acquainted,Beauty Behind The Madness,The Weeknd,2015-08-28,5.81,73,0.37200000000000005,0.484,0.37200000000000005,0.47700000000000004,0.0,0.0844,-9.838,0.0497,101.09700000000001,4,2015,True
Tell Your Friends,Beauty Behind The Madness,The Weeknd,2015-08-28,5.57,69,0.565,0.265,0.565,0.45399999999999996,0.0,0.18100000000000002,-11.091,0.0461,74.809,4,2015,True
Party Monster,Starboy,The Weeknd,2016-11-25,4.15,74,0.5720000000000001,0.188,0.5720000000000001,0.631,2.3100000000000002e-05,0.259,-8.389,0.10400000000000001,77.51899999999999,4,2016,True
Reminder,Starboy,The Weeknd,2016-11-25,3.65,75,0.705,0.142,0.705,0.505,0.0,0.16399999999999998,-6.922999999999999,0.192,160.043,4,2016,True
Secrets,Starboy,The Weeknd,2016-11-25,4.43,72,0.665,0.0155,0.665,0.7709999999999999,9.6e-06,0.46,-5.779,0.0533,109.945,4,2016,True
Sidewalks,Starboy,The Weeknd,2016-11-25,3.86,72,0.542,0.147,0.542,0.721,0.0,0.348,-5.136,0.0625,149.83100000000002,4,2016,True
Prisoner,Beauty Behind The Madness,The Weeknd,2015-08-28,4.58,66,0.55,0.441,0.55,0.40399999999999997,0.00022,0.11,-12.755,0.0398,135.016,4,2015,True
Nothing Without You,Starboy,The Weeknd,2016-11-25,3.31,67,0.599,0.064,0.599,0.635,0.0,0.0878,-8.101,0.0679,109.919,4,2016,True
All I Know,Starboy,The Weeknd,2016-11-25,5.35,67,0.469,0.418,0.469,0.41700000000000004,0.00018899999999999999,0.102,-10.614,0.0704,120.012,4,2016,True
House Of Balloons / Glass Table Girls,Trilogy,The Weeknd,2012-01-01,6.75,62,0.65,0.0123,0.65,0.711,0.00943,0.301,-5.417000000000001,0.0377,89.01899999999999,4,2012,True
The Morning,Trilogy,The Weeknd,2012-01-01,5.21,71,0.652,0.317,0.652,0.5489999999999999,0.0,0.10400000000000001,-7.555,0.039,120.073,4,2012,True
Life Of The Party,Trilogy,The Weeknd,2012-01-01,4.94,56,0.5539999999999999,0.0237,0.5539999999999999,0.696,4.51e-05,0.505,-7.664,0.0335,138.05100000000002,4,2012,True
Thursday,Trilogy,The Weeknd,2012-01-01,5.33,55,0.307,0.47200000000000003,0.307,0.625,0.0005769999999999999,0.14400000000000002,-8.982999999999999,0.062,180.467,3,2012,True
Gone,Trilogy,The Weeknd,2012-01-01,8.11,55,0.494,0.708,0.494,0.6970000000000001,0.000405,0.0602,-7.232,0.309,107.669,4,2012,True
Rolling Stone,Trilogy,The Weeknd,2012-01-01,3.84,58,0.693,0.405,0.693,0.32299999999999995,2.1899999999999997e-05,0.149,-11.97,0.0306,129.964,4,2012,True
Heaven Or Las Vegas,Trilogy,The Weeknd,2012-01-01,5.89,54,0.524,0.013999999999999999,0.524,0.708,0.000166,0.13,-8.217,0.0603,125.025,4,2012,True
XO / The Host,Trilogy,The Weeknd,2012-01-01,7.4,56,0.43799999999999994,0.375,0.43799999999999994,0.593,1.8e-05,0.38799999999999996,-7.7860000000000005,0.049,127.994,4,2012,True
The Fall,Trilogy,The Weeknd,2012-01-01,5.75,55,0.46399999999999997,0.248,0.46399999999999997,0.688,0.000261,0.629,-7.444,0.0549,75.054,4,2012,True
Belong To The World,Kiss Land,The Weeknd,2013-01-01,5.12,52,0.501,0.00392,0.501,0.858,0.0,0.11900000000000001,-6.27,0.0578,121.01799999999999,4,2013,True
Call Out My Name,"My Dear Melancholy,",The Weeknd,2018-03-30,3.81,25,0.449,0.21100000000000002,0.449,0.599,0.0,0.327,-4.8919999999999995,0.0369,134.144,3,2018,True
Try Me,"My Dear Melancholy,",The Weeknd,2018-03-30,3.69,18,0.466,0.622,0.466,0.672,0.00108,0.147,-5.777,0.068,91.67299999999999,4,2018,True
Wasted Times,"My Dear Melancholy,",The Weeknd,2018-03-30,3.67,17,0.562,0.622,0.562,0.674,2.0399999999999998e-05,0.111,-6.0489999999999995,0.0851,122.699,4,2018,True
I Was Never There,"My Dear Melancholy,",The Weeknd,2018-03-30,4.02,15,0.324,0.135,0.324,0.735,4.84e-05,0.16899999999999998,-4.053999999999999,0.0337,113.92299999999999,4,2018,True
Hurt You,"My Dear Melancholy,",The Weeknd,2018-03-30,3.83,17,0.484,0.3,0.484,0.716,0.00214,0.11199999999999999,-7.193,0.16699999999999998,184.13099999999997,4,2018,True
Privilege,"My Dear Melancholy,",The Weeknd,2018-03-30,2.84,15,0.391,0.9129999999999999,0.391,0.595,0.00557,0.145,-7.093999999999999,0.0411,93.78,4,2018,True
Wanderlust,Kiss Land,The Weeknd,2013-01-01,5.11,54,0.637,0.0668,0.637,0.652,0.175,0.0714,-5.237,0.0435,115.92399999999999,4,2013,True
D.D.,Trilogy,The Weeknd,2012-01-01,4.59,65,0.68,0.479,0.68,0.7070000000000001,0.0,0.511,-7.225,0.0987,119.993,4,2012,True
Enemy,Enemy,XO,2018-05-01,4.67,12,0.7120000000000001,0.0708,0.7120000000000001,0.561,0.0,0.373,-5.653,0.0808,126.31700000000001,4,2018,False
King of the Fall,King of the Fall,XO,2018-09-06,5.03,54,0.581,0.11,0.581,0.7340000000000001,0.0,0.253,-5.2620000000000005,0.0411,78.055,4,2018,False
The Hills,Beauty Behind The Madness,The Weeknd,2015-08-28,4.04,83,0.58,0.0671,0.58,0.565,0.0,0.135,-7.065,0.0488,112.986,4,2015,True
Remember You (feat. The Weeknd),O.N.I.F.C. (Deluxe),Wiz Khalifa,2012-12-04,4.83,55,0.726,0.217,0.726,0.775,0.0,0.212,-4.1739999999999995,0.26899999999999996,127.943,4,2012,False
Heartless,Heartless,The Weeknd,2019-11-27,3.33,91,0.531,0.00632,0.531,0.75,7.6e-05,0.11699999999999999,-5.831,0.111,169.954,4,2019,True
Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,3.36,88,0.513,0.00147,0.513,0.7959999999999999,0.00020899999999999998,0.0938,-4.075,0.0629,171.017,4,2019,True
Starboy,Starboy,The Weeknd,2016-11-25,3.84,85,0.6779999999999999,0.141,0.6779999999999999,0.588,6.35e-06,0.13699999999999998,-7.015,0.276,186.005,4,2016,True
I Feel It Coming,Starboy,The Weeknd,2016-11-25,4.49,81,0.773,0.426,0.773,0.8190000000000001,0.0,0.0679,-5.946000000000001,0.11800000000000001,92.99,4,2016,True
Can't Feel My Face,Beauty Behind The Madness,The Weeknd,2015-08-28,3.56,80,0.705,0.11199999999999999,0.705,0.769,0.0,0.105,-5.526,0.0426,107.939,4,2015,True
Pray For Me (with Kendrick Lamar),Pray For Me (with Kendrick Lamar),The Weeknd,2018-02-02,3.52,15,0.728,0.0805,0.728,0.6679999999999999,1.49e-05,0.102,-5.02,0.126,100.537,4,2018,True
Power is Power (feat. The Weeknd & Travis Scott),For The Throne (Music Inspired by the HBO Series Game of Thrones),Game of Thrones,2019-04-26,3.52,74,0.507,0.00413,0.507,0.644,0.0,0.217,-7.485,0.0641,179.91299999999998,4,2019,False
Some Way,NAV,NAV,2017-02-24,3.0,73,0.7440000000000001,0.10099999999999999,0.7440000000000001,0.715,0.0,0.0919,-6.103,0.35100000000000003,154.96200000000002,4,2017,False
Rockinâ€™,Starboy,The Weeknd,2016-11-25,3.88,70,0.737,0.0132,0.737,0.885,0.0,0.0821,-5.547000000000001,0.20600000000000002,112.87700000000001,4,2016,True
Lost in the Fire,Lost in the Fire,Gesaffelstein,2019,3.37,22,0.6629999999999999,0.0863,0.6629999999999999,0.675,0.00133,0.11699999999999999,-12.159,0.0359,101.00399999999999,4,2019,False
Might Not,Up For Days,Belly,2015-11-20,3.74,68,0.792,0.318,0.792,0.563,0.0,0.13,-4.836,0.0787,134.02200000000002,4,2015,False
False Alarm,Starboy,The Weeknd,2016-11-25,3.67,70,0.518,0.0324,0.518,0.6759999999999999,3.6200000000000006e-05,0.18899999999999997,-6.372999999999999,0.0744,173.998,4,2016,True
Reminder - Remix,Reminder (Remix),The Weeknd,2017-08-01,3.7,64,0.7509999999999999,0.153,0.7509999999999999,0.654,0.0,0.10400000000000001,-5.665,0.20600000000000002,160.035,4,2017,True
A Lonely Night,Starboy,The Weeknd,2016-11-25,3.67,68,0.853,0.0431,0.853,0.6629999999999999,8.65e-06,0.0891,-6.955,0.0755,113.999,4,2016,True
Crew Love,Take Care (Deluxe),Drake,2011-11-15,3.48,52,0.418,0.22699999999999998,0.418,0.546,0.0,0.22899999999999998,-9.057,0.23800000000000002,160.15200000000002,4,2011,False
In The Night,Beauty Behind The Madness,The Weeknd,2015-08-28,3.93,72,0.505,0.0796,0.505,0.68,0.0,0.0465,-4.99,0.0713,168.021,3,2015,True
Love To Lay,Starboy,The Weeknd,2016-11-25,3.72,66,0.711,0.0519,0.711,0.807,0.0,0.214,-5.053,0.0608,116.971,4,2016,True
Six Feet Under,Starboy,The Weeknd,2016-11-25,3.96,70,0.772,0.129,0.772,0.504,0.0,0.125,-8.219,0.0761,140.035,4,2016,True
Stargirl Interlude,Starboy,The Weeknd,2016-11-25,1.86,67,0.638,0.344,0.638,0.47,0.193,0.105,-12.697000000000001,0.132,179.81799999999998,4,2016,True
Ordinary Life,Starboy,The Weeknd,2016-11-25,3.7,68,0.544,0.0276,0.544,0.586,0.0,0.0961,-7.486000000000001,0.0794,149.882,4,2016,True
Low Life,EVOL,Future,2016-04-13,5.23,76,0.722,0.337,0.722,0.331,0.28300000000000003,0.146,-7.789,0.0725,143.974,4,2016,False
